state_abbreviation,PUMA,Citizens,PopPerSqMile,SimpleAge,Sex,CollegeGrad,Race5,AvgIncome
GA,200,782,238.0,Under,Male,NonGrad,R5_Asian,40947
GA,200,10059,238.0,Under,Male,NonGrad,R5_WhiteNonLatinx,35587
GA,200,406,238.0,Under,Male,Grad,R5_Other,64680
GA,200,1216,238.0,Under,Male,Grad,R5_Black,45612
GA,200,552,238.0,Under,Male,Grad,R5_Latinx,6234
GA,200,183,238.0,Under,Male,Grad,R5_Asian,36900
GA,200,2836,238.0,Under,Male,Grad,R5_WhiteNonLatinx,42653
GA,200,532,238.0,EqualOrOver,Female,NonGrad,R5_Other,22141
GA,200,4687,238.0,EqualOrOver,Female,NonGrad,R5_Black,27800
GA,200,388,238.0,EqualOrOver,Female,NonGrad,R5_Latinx,6746
GA,200,92,238.0,EqualOrOver,Female,NonGrad,R5_Asian,15157
GA,200,9067,238.0,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,20978
GA,200,47,238.0,EqualOrOver,Female,Grad,R5_Other,0
GA,200,1263,238.0,EqualOrOver,Female,Grad,R5_Black,39196
GA,200,172,238.0,EqualOrOver,Female,Grad,R5_Latinx,54372
GA,200,28,238.0,EqualOrOver,Female,Grad,R5_Asian,21914
GA,200,2271,238.0,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,43158
GA,200,270,238.0,EqualOrOver,Male,NonGrad,R5_Other,48264
GA,200,3516,238.0,EqualOrOver,Male,NonGrad,R5_Black,40238
GA,200,258,238.0,EqualOrOver,Male,NonGrad,R5_Latinx,63672
GA,200,46,238.0,EqualOrOver,Male,NonGrad,R5_Asian,9900
GA,200,8400,238.0,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,56625
GA,200,89,238.0,EqualOrOver,Male,Grad,R5_Other,36000
GA,200,1149,238.0,EqualOrOver,Male,Grad,R5_Black,85203
GA,200,266,238.0,EqualOrOver,Male,Grad,R5_Latinx,61672
GA,200,2325,238.0,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,118777
GA,300,428,164.0,Under,Female,NonGrad,R5_Other,10650
GA,300,4239,164.0,Under,Female,NonGrad,R5_Black,15364
GA,300,296,164.0,Under,Female,NonGrad,R5_Latinx,7000
GA,300,9757,164.0,Under,Female,NonGrad,R5_WhiteNonLatinx,18871
GA,300,549,164.0,Under,Female,Grad,R5_Other,1198
GA,300,3932,164.0,Under,Female,Grad,R5_Black,11633
GA,300,643,164.0,Under,Female,Grad,R5_Latinx,5342
GA,300,73,164.0,Under,Female,Grad,R5_Asian,3909
GA,300,10887,164.0,Under,Female,Grad,R5_WhiteNonLatinx,25472
GA,300,492,164.0,Under,Male,NonGrad,R5_Other,11601
GA,300,5542,164.0,Under,Male,NonGrad,R5_Black,30990
GA,300,425,164.0,Under,Male,NonGrad,R5_Latinx,21302
GA,300,704,164.0,Under,Male,NonGrad,R5_Asian,26928
GA,300,14649,164.0,Under,Male,NonGrad,R5_WhiteNonLatinx,44048
GA,300,707,164.0,Under,Male,Grad,R5_Other,9914
GA,300,2528,164.0,Under,Male,Grad,R5_Black,18252
GA,300,631,164.0,Under,Male,Grad,R5_Latinx,14547
GA,300,116,164.0,Under,Male,Grad,R5_Asian,20734
GA,300,6802,164.0,Under,Male,Grad,R5_WhiteNonLatinx,22309
GA,300,218,164.0,EqualOrOver,Female,NonGrad,R5_Other,8824
GA,300,6428,164.0,EqualOrOver,Female,NonGrad,R5_Black,21464
GA,300,224,164.0,EqualOrOver,Female,NonGrad,R5_Latinx,6054
GA,300,542,164.0,EqualOrOver,Female,NonGrad,R5_Asian,53414
GA,300,17034,164.0,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,21030
GA,300,147,164.0,EqualOrOver,Female,Grad,R5_Other,33881
GA,300,860,164.0,EqualOrOver,Female,Grad,R5_Black,40993
GA,300,0,164.0,EqualOrOver,Female,Grad,R5_Latinx,27000
GA,300,45,164.0,EqualOrOver,Female,Grad,R5_Asian,11769
GA,300,4023,164.0,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,36461
GA,300,314,164.0,EqualOrOver,Male,NonGrad,R5_Other,43535
GA,300,4320,164.0,EqualOrOver,Male,NonGrad,R5_Black,25435
GA,300,258,164.0,EqualOrOver,Male,NonGrad,R5_Latinx,13805
GA,300,246,164.0,EqualOrOver,Male,NonGrad,R5_Asian,20118
GA,300,13854,164.0,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,46537
GA,300,152,164.0,EqualOrOver,Male,Grad,R5_Other,21000
GA,300,367,164.0,EqualOrOver,Male,Grad,R5_Black,54522
GA,300,0,164.0,EqualOrOver,Male,Grad,R5_Asian,80200
GA,300,5607,164.0,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,88834
GA,401,755,2226.4,Under,Female,NonGrad,R5_Other,22047
GA,401,10502,2226.4,Under,Female,NonGrad,R5_Black,21251
GA,401,1121,2226.4,Under,Female,NonGrad,R5_Latinx,7660
GA,401,293,2226.4,Under,Female,NonGrad,R5_Asian,22995
GA,401,5024,2226.4,Under,Female,NonGrad,R5_WhiteNonLatinx,19787
GA,401,223,2226.4,Under,Female,Grad,R5_Other,28908
GA,401,7137,2226.4,Under,Female,Grad,R5_Black,19150
GA,401,939,2226.4,Under,Female,Grad,R5_Latinx,27258
GA,401,173,2226.4,Under,Female,Grad,R5_Asian,19110
GA,401,8343,2226.4,Under,Female,Grad,R5_WhiteNonLatinx,25235
GA,401,573,2226.4,Under,Male,NonGrad,R5_Other,22994
GA,401,12120,2226.4,Under,Male,NonGrad,R5_Black,24979
GA,401,731,2226.4,Under,Male,NonGrad,R5_Latinx,22261
GA,401,30,2226.4,Under,Male,NonGrad,R5_Asian,28321
GA,401,6628,2226.4,Under,Male,NonGrad,R5_WhiteNonLatinx,30128
GA,401,537,2226.4,Under,Male,Grad,R5_Other,37742
GA,401,3475,2226.4,Under,Male,Grad,R5_Black,27303
GA,401,188,2226.4,Under,Male,Grad,R5_Latinx,21246
GA,401,105,2226.4,Under,Male,Grad,R5_Asian,13786
GA,401,6253,2226.4,Under,Male,Grad,R5_WhiteNonLatinx,56754
GA,401,402,2226.4,EqualOrOver,Female,NonGrad,R5_Other,17381
GA,401,12145,2226.4,EqualOrOver,Female,NonGrad,R5_Black,22153
GA,401,440,2226.4,EqualOrOver,Female,NonGrad,R5_Latinx,16172
GA,401,327,2226.4,EqualOrOver,Female,NonGrad,R5_Asian,16549
GA,401,9522,2226.4,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,28554
GA,401,165,2226.4,EqualOrOver,Female,Grad,R5_Other,16817
GA,401,3986,2226.4,EqualOrOver,Female,Grad,R5_Black,47655
GA,401,151,2226.4,EqualOrOver,Female,Grad,R5_Latinx,82407
GA,401,5020,2226.4,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,75866
GA,401,203,2226.4,EqualOrOver,Male,NonGrad,R5_Other,32997
GA,401,9690,2226.4,EqualOrOver,Male,NonGrad,R5_Black,26111
GA,401,931,2226.4,EqualOrOver,Male,NonGrad,R5_Latinx,61079
GA,401,58,2226.4,EqualOrOver,Male,NonGrad,R5_Asian,17294
GA,401,7444,2226.4,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,52398
GA,401,214,2226.4,EqualOrOver,Male,Grad,R5_Other,47196
GA,401,1050,2226.4,EqualOrOver,Male,Grad,R5_Black,64695
GA,401,72,2226.4,EqualOrOver,Male,Grad,R5_Latinx,23714
GA,401,239,2226.4,EqualOrOver,Male,Grad,R5_Asian,51717
GA,401,5722,2226.4,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,105174
GA,402,331,559.1,Under,Female,NonGrad,R5_Other,14616
GA,402,3510,559.1,Under,Female,NonGrad,R5_Black,38017
GA,402,0,559.1,Under,Female,NonGrad,R5_Latinx,0
GA,402,0,559.1,Under,Female,NonGrad,R5_Asian,2600
GA,402,4790,559.1,Under,Female,NonGrad,R5_WhiteNonLatinx,25178
GA,402,777,559.1,Under,Female,Grad,R5_Other,12073
GA,402,2417,559.1,Under,Female,Grad,R5_Black,17342
GA,402,755,559.1,Under,Female,Grad,R5_Latinx,37069
GA,402,0,559.1,Under,Female,Grad,R5_Asian,20194
GA,402,7931,559.1,Under,Female,Grad,R5_WhiteNonLatinx,45804
GA,402,294,559.1,Under,Male,NonGrad,R5_Other,22000
GA,402,5705,559.1,Under,Male,NonGrad,R5_Black,15591
GA,402,139,559.1,Under,Male,NonGrad,R5_Latinx,16606
GA,402,90,559.1,Under,Male,NonGrad,R5_Asian,40000
GA,402,7573,559.1,Under,Male,NonGrad,R5_WhiteNonLatinx,36383
GA,402,173,559.1,Under,Male,Grad,R5_Other,78518
GA,402,1207,559.1,Under,Male,Grad,R5_Black,4604
GA,402,282,559.1,Under,Male,Grad,R5_Latinx,45000
GA,402,176,559.1,Under,Male,Grad,R5_Asian,27458
GA,402,5980,559.1,Under,Male,Grad,R5_WhiteNonLatinx,67042
GA,402,362,559.1,EqualOrOver,Female,NonGrad,R5_Other,8149
GA,402,3227,559.1,EqualOrOver,Female,NonGrad,R5_Black,33750
GA,402,105,559.1,EqualOrOver,Female,NonGrad,R5_Latinx,0
GA,402,1329,559.1,EqualOrOver,Female,NonGrad,R5_Asian,27894
GA,402,11451,559.1,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,31598
GA,402,2876,559.1,EqualOrOver,Female,Grad,R5_Black,56034
GA,402,291,559.1,EqualOrOver,Female,Grad,R5_Asian,101415
GA,402,9233,559.1,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,48966
GA,402,207,559.1,EqualOrOver,Male,NonGrad,R5_Other,43477
GA,402,3998,559.1,EqualOrOver,Male,NonGrad,R5_Black,36334
GA,402,10328,559.1,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,51021
GA,402,65,559.1,EqualOrOver,Male,Grad,R5_Other,64960
GA,402,1644,559.1,EqualOrOver,Male,Grad,R5_Black,86611
GA,402,80,559.1,EqualOrOver,Male,Grad,R5_Latinx,447000
GA,402,349,559.1,EqualOrOver,Male,Grad,R5_Asian,160010
GA,402,7303,559.1,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,115248
GA,500,1621,65.8,Under,Female,NonGrad,R5_Other,11442
GA,500,5686,65.8,Under,Female,NonGrad,R5_Black,10812
GA,500,466,65.8,Under,Female,NonGrad,R5_Latinx,12708
GA,500,0,65.8,Under,Female,NonGrad,R5_Asian,14000
GA,500,13209,65.8,Under,Female,NonGrad,R5_WhiteNonLatinx,11146
GA,500,154,65.8,Under,Female,Grad,R5_Other,24694
GA,500,704,65.8,Under,Female,Grad,R5_Black,21348
GA,500,47,65.8,Under,Female,Grad,R5_Latinx,30000
GA,500,0,65.8,Under,Female,Grad,R5_Asian,0
GA,500,4713,65.8,Under,Female,Grad,R5_WhiteNonLatinx,46988
GA,500,892,65.8,Under,Male,NonGrad,R5_Other,21141
GA,500,7824,65.8,Under,Male,NonGrad,R5_Black,12161
GA,500,112,65.8,Under,Male,NonGrad,R5_Latinx,8631
GA,500,17527,65.8,Under,Male,NonGrad,R5_WhiteNonLatinx,26347
GA,500,666,65.8,Under,Male,Grad,R5_Black,38509
GA,500,3595,65.8,Under,Male,Grad,R5_WhiteNonLatinx,38054
GA,500,437,65.8,EqualOrOver,Female,NonGrad,R5_Other,8914
GA,500,6677,65.8,EqualOrOver,Female,NonGrad,R5_Black,18762
GA,500,23901,65.8,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,19252
GA,500,596,65.8,EqualOrOver,Female,Grad,R5_Black,35503
GA,500,4986,65.8,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,44206
GA,500,172,65.8,EqualOrOver,Male,NonGrad,R5_Other,20707
GA,500,6006,65.8,EqualOrOver,Male,NonGrad,R5_Black,16578
GA,500,90,65.8,EqualOrOver,Male,NonGrad,R5_Latinx,5287
GA,500,83,65.8,EqualOrOver,Male,NonGrad,R5_Asian,25602
GA,500,22934,65.8,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,35482
GA,500,206,65.8,EqualOrOver,Male,Grad,R5_Black,76148
GA,500,3300,65.8,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,82643
GA,600,636,574.1,Under,Female,NonGrad,R5_Other,15675
GA,600,7946,574.1,Under,Female,NonGrad,R5_Black,11555
GA,600,653,574.1,Under,Female,NonGrad,R5_Latinx,2150
GA,600,95,574.1,Under,Female,NonGrad,R5_Asian,5600
GA,600,6476,574.1,Under,Female,NonGrad,R5_WhiteNonLatinx,20822
GA,600,68,574.1,Under,Female,Grad,R5_Other,29184
GA,600,2064,574.1,Under,Female,Grad,R5_Black,27302
GA,600,30,574.1,Under,Female,Grad,R5_Latinx,65000
GA,600,599,574.1,Under,Female,Grad,R5_Asian,16179
GA,600,6637,574.1,Under,Female,Grad,R5_WhiteNonLatinx,21370
GA,600,1614,574.1,Under,Male,NonGrad,R5_Other,15598
GA,600,6151,574.1,Under,Male,NonGrad,R5_Black,11725
GA,600,471,574.1,Under,Male,NonGrad,R5_Latinx,37614
GA,600,74,574.1,Under,Male,NonGrad,R5_Asian,28000
GA,600,7617,574.1,Under,Male,NonGrad,R5_WhiteNonLatinx,34174
GA,600,1489,574.1,Under,Male,Grad,R5_Black,21198
GA,600,204,574.1,Under,Male,Grad,R5_Latinx,20000
GA,600,0,574.1,Under,Male,Grad,R5_Asian,167
GA,600,5767,574.1,Under,Male,Grad,R5_WhiteNonLatinx,32569
GA,600,364,574.1,EqualOrOver,Female,NonGrad,R5_Other,17487
GA,600,5920,574.1,EqualOrOver,Female,NonGrad,R5_Black,20101
GA,600,336,574.1,EqualOrOver,Female,NonGrad,R5_Latinx,22665
GA,600,181,574.1,EqualOrOver,Female,NonGrad,R5_Asian,9630
GA,600,9356,574.1,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,21440
GA,600,8,574.1,EqualOrOver,Female,Grad,R5_Other,24000
GA,600,918,574.1,EqualOrOver,Female,Grad,R5_Black,32421
GA,600,81,574.1,EqualOrOver,Female,Grad,R5_Latinx,30000
GA,600,3441,574.1,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,51676
GA,600,263,574.1,EqualOrOver,Male,NonGrad,R5_Other,43969
GA,600,4920,574.1,EqualOrOver,Male,NonGrad,R5_Black,26911
GA,600,188,574.1,EqualOrOver,Male,NonGrad,R5_Latinx,38723
GA,600,7300,574.1,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,46633
GA,600,45,574.1,EqualOrOver,Male,Grad,R5_Other,100000
GA,600,639,574.1,EqualOrOver,Male,Grad,R5_Black,36525
GA,600,182,574.1,EqualOrOver,Male,Grad,R5_Latinx,52000
GA,600,224,574.1,EqualOrOver,Male,Grad,R5_Asian,45277
GA,600,3521,574.1,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,94076
GA,700,147,101.7,Under,Female,NonGrad,R5_Other,27306
GA,700,5755,101.7,Under,Female,NonGrad,R5_Black,22175
GA,700,51,101.7,Under,Female,NonGrad,R5_Latinx,98178
GA,700,349,101.7,Under,Female,NonGrad,R5_Asian,87392
GA,700,8665,101.7,Under,Female,NonGrad,R5_WhiteNonLatinx,16723
GA,700,239,101.7,Under,Female,Grad,R5_Other,56033
GA,700,1593,101.7,Under,Female,Grad,R5_Black,25475
GA,700,491,101.7,Under,Female,Grad,R5_Latinx,22346
GA,700,0,101.7,Under,Female,Grad,R5_Asian,77000
GA,700,4814,101.7,Under,Female,Grad,R5_WhiteNonLatinx,26413
GA,700,233,101.7,Under,Male,NonGrad,R5_Other,20785
GA,700,5328,101.7,Under,Male,NonGrad,R5_Black,17267
GA,700,58,101.7,Under,Male,NonGrad,R5_Latinx,30347
GA,700,769,101.7,Under,Male,NonGrad,R5_Asian,34011
GA,700,8763,101.7,Under,Male,NonGrad,R5_WhiteNonLatinx,28286
GA,700,290,101.7,Under,Male,Grad,R5_Other,27490
GA,700,1524,101.7,Under,Male,Grad,R5_Black,44423
GA,700,354,101.7,Under,Male,Grad,R5_Asian,34432
GA,700,3689,101.7,Under,Male,Grad,R5_WhiteNonLatinx,61225
GA,700,344,101.7,EqualOrOver,Female,NonGrad,R5_Other,12372
GA,700,5903,101.7,EqualOrOver,Female,NonGrad,R5_Black,14531
GA,700,15278,101.7,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,21791
GA,700,116,101.7,EqualOrOver,Female,Grad,R5_Other,50000
GA,700,781,101.7,EqualOrOver,Female,Grad,R5_Black,32901
GA,700,3657,101.7,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,41615
GA,700,682,101.7,EqualOrOver,Male,NonGrad,R5_Other,15971
GA,700,5319,101.7,EqualOrOver,Male,NonGrad,R5_Black,30110
GA,700,0,101.7,EqualOrOver,Male,NonGrad,R5_Latinx,25000
GA,700,112,101.7,EqualOrOver,Male,NonGrad,R5_Asian,45000
GA,700,14030,101.7,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,31514
GA,700,227,101.7,EqualOrOver,Male,Grad,R5_Black,48485
GA,700,2927,101.7,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,74137
GA,800,264,120.0,Under,Female,NonGrad,R5_Other,509
GA,800,4109,120.0,Under,Female,NonGrad,R5_Black,15001
GA,800,58,120.0,Under,Female,NonGrad,R5_Latinx,4731
GA,800,58,120.0,Under,Female,NonGrad,R5_Asian,14400
GA,800,7985,120.0,Under,Female,NonGrad,R5_WhiteNonLatinx,16181
GA,800,35,120.0,Under,Female,Grad,R5_Other,228
GA,800,2120,120.0,Under,Female,Grad,R5_Black,27034
GA,800,0,120.0,Under,Female,Grad,R5_Latinx,800
GA,800,161,120.0,Under,Female,Grad,R5_Asian,45022
GA,800,3207,120.0,Under,Female,Grad,R5_WhiteNonLatinx,41753
GA,800,552,120.0,Under,Male,NonGrad,R5_Other,33399
GA,800,4682,120.0,Under,Male,NonGrad,R5_Black,21093
GA,800,718,120.0,Under,Male,NonGrad,R5_Latinx,24184
GA,800,59,120.0,Under,Male,NonGrad,R5_Asian,15425
GA,800,7617,120.0,Under,Male,NonGrad,R5_WhiteNonLatinx,32502
GA,800,63,120.0,Under,Male,Grad,R5_Other,110000
GA,800,1194,120.0,Under,Male,Grad,R5_Black,39732
GA,800,2327,120.0,Under,Male,Grad,R5_WhiteNonLatinx,35557
GA,800,511,120.0,EqualOrOver,Female,NonGrad,R5_Other,10556
GA,800,6280,120.0,EqualOrOver,Female,NonGrad,R5_Black,19605
GA,800,11,120.0,EqualOrOver,Female,NonGrad,R5_Latinx,8206
GA,800,98,120.0,EqualOrOver,Female,NonGrad,R5_Asian,26489
GA,800,12945,120.0,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,25356
GA,800,603,120.0,EqualOrOver,Female,Grad,R5_Black,52250
GA,800,3780,120.0,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,61532
GA,800,89,120.0,EqualOrOver,Male,NonGrad,R5_Other,14652
GA,800,4535,120.0,EqualOrOver,Male,NonGrad,R5_Black,27078
GA,800,0,120.0,EqualOrOver,Male,NonGrad,R5_Latinx,27600
GA,800,0,120.0,EqualOrOver,Male,NonGrad,R5_Asian,24000
GA,800,10633,120.0,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,34745
GA,800,437,120.0,EqualOrOver,Male,Grad,R5_Black,33865
GA,800,4085,120.0,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,100166
GA,900,60,604.7,Under,Female,NonGrad,R5_Other,40
GA,900,8620,604.7,Under,Female,NonGrad,R5_Black,15063
GA,900,40,604.7,Under,Female,NonGrad,R5_Latinx,0
GA,900,157,604.7,Under,Female,NonGrad,R5_Asian,27000
GA,900,4212,604.7,Under,Female,NonGrad,R5_WhiteNonLatinx,23479
GA,900,576,604.7,Under,Female,Grad,R5_Other,22262
GA,900,7154,604.7,Under,Female,Grad,R5_Black,22304
GA,900,142,604.7,Under,Female,Grad,R5_Latinx,15981
GA,900,3210,604.7,Under,Female,Grad,R5_WhiteNonLatinx,29559
GA,900,778,604.7,Under,Male,NonGrad,R5_Other,8134
GA,900,10633,604.7,Under,Male,NonGrad,R5_Black,17995
GA,900,78,604.7,Under,Male,NonGrad,R5_Latinx,17957
GA,900,0,604.7,Under,Male,NonGrad,R5_Asian,35000
GA,900,5125,604.7,Under,Male,NonGrad,R5_WhiteNonLatinx,23001
GA,900,179,604.7,Under,Male,Grad,R5_Other,0
GA,900,1838,604.7,Under,Male,Grad,R5_Black,18575
GA,900,185,604.7,Under,Male,Grad,R5_Latinx,13186
GA,900,1990,604.7,Under,Male,Grad,R5_WhiteNonLatinx,41330
GA,900,84,604.7,EqualOrOver,Female,NonGrad,R5_Other,12083
GA,900,10193,604.7,EqualOrOver,Female,NonGrad,R5_Black,20140
GA,900,151,604.7,EqualOrOver,Female,NonGrad,R5_Latinx,27000
GA,900,165,604.7,EqualOrOver,Female,NonGrad,R5_Asian,1621
GA,900,8819,604.7,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,31496
GA,900,70,604.7,EqualOrOver,Female,Grad,R5_Other,30100
GA,900,3466,604.7,EqualOrOver,Female,Grad,R5_Black,23462
GA,900,31,604.7,EqualOrOver,Female,Grad,R5_Latinx,110500
GA,900,2454,604.7,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,46186
GA,900,352,604.7,EqualOrOver,Male,NonGrad,R5_Other,87704
GA,900,8088,604.7,EqualOrOver,Male,NonGrad,R5_Black,29519
GA,900,111,604.7,EqualOrOver,Male,NonGrad,R5_Asian,49100
GA,900,7075,604.7,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,49179
GA,900,1729,604.7,EqualOrOver,Male,Grad,R5_Black,59099
GA,900,0,604.7,EqualOrOver,Male,Grad,R5_Asian,89000
GA,900,2466,604.7,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,105728
GA,1001,445,2845.6,Under,Female,NonGrad,R5_Other,12464
GA,1001,1881,2845.6,Under,Female,NonGrad,R5_Black,37912
GA,1001,50,2845.6,Under,Female,NonGrad,R5_Latinx,6329
GA,1001,226,2845.6,Under,Female,NonGrad,R5_Asian,15000
GA,1001,2885,2845.6,Under,Female,NonGrad,R5_WhiteNonLatinx,25383
GA,1001,488,2845.6,Under,Female,Grad,R5_Other,54896
GA,1001,2294,2845.6,Under,Female,Grad,R5_Black,42017
GA,1001,361,2845.6,Under,Female,Grad,R5_Latinx,44340
GA,1001,1096,2845.6,Under,Female,Grad,R5_Asian,68172
GA,1001,10415,2845.6,Under,Female,Grad,R5_WhiteNonLatinx,52839
GA,1001,321,2845.6,Under,Male,NonGrad,R5_Other,33983
GA,1001,2258,2845.6,Under,Male,NonGrad,R5_Black,22472
GA,1001,448,2845.6,Under,Male,NonGrad,R5_Latinx,36185
GA,1001,349,2845.6,Under,Male,NonGrad,R5_Asian,157521
GA,1001,3244,2845.6,Under,Male,NonGrad,R5_WhiteNonLatinx,29657
GA,1001,162,2845.6,Under,Male,Grad,R5_Other,98605
GA,1001,2169,2845.6,Under,Male,Grad,R5_Black,49949
GA,1001,473,2845.6,Under,Male,Grad,R5_Latinx,51623
GA,1001,971,2845.6,Under,Male,Grad,R5_Asian,85784
GA,1001,8304,2845.6,Under,Male,Grad,R5_WhiteNonLatinx,113234
GA,1001,164,2845.6,EqualOrOver,Female,NonGrad,R5_Other,3865
GA,1001,1920,2845.6,EqualOrOver,Female,NonGrad,R5_Black,35694
GA,1001,42,2845.6,EqualOrOver,Female,NonGrad,R5_Latinx,4518
GA,1001,747,2845.6,EqualOrOver,Female,NonGrad,R5_Asian,33020
GA,1001,6437,2845.6,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,33538
GA,1001,269,2845.6,EqualOrOver,Female,Grad,R5_Other,61227
GA,1001,606,2845.6,EqualOrOver,Female,Grad,R5_Black,117511
GA,1001,283,2845.6,EqualOrOver,Female,Grad,R5_Latinx,48122
GA,1001,815,2845.6,EqualOrOver,Female,Grad,R5_Asian,89711
GA,1001,14410,2845.6,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,75132
GA,1001,241,2845.6,EqualOrOver,Male,NonGrad,R5_Other,6320
GA,1001,752,2845.6,EqualOrOver,Male,NonGrad,R5_Black,43507
